customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00016,Female,0,No,No,52,Yes,Yes,No,No internet service,No,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),87.42,4165.16,No
CUST-00017,Female,0,No,No,30,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,69.21,1878.35,No
CUST-00018,Female,1,No,Yes,68,No,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No,Two year,Yes,Mailed check,77.44,4860.4,No
CUST-00019,Male,0,Yes,Yes,32,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),103.87,3305.76,No
CUST-00020,Female,0,Yes,No,71,Yes,Yes,No,No,Yes,No,Yes,Yes,No internet service,Two year,No,Mailed check,115.01,8039.4,No
CUST-00021,Male,0,No,Yes,49,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,Two year,Yes,Credit card (automatic),75.15,3476.2,No
CUST-00022,Female,1,No,No,15,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,36.49,519.0,Yes
CUST-00023,Female,1,Yes,No,38,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,83.25,3131.66,No
CUST-00024,Female,1,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,One year,No,Bank transfer (automatic),25.77,1112.26,No
CUST-00025,Female,0,Yes,No,46,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),82.78,3762.48,No
CUST-00026,Female,1,Yes,No,43,Yes,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,100.48,4101.08,No
CUST-00027,Female,0,No,Yes,8,No,Yes,DSL,Yes,Yes,Yes,No,No,No internet service,Month-to-month,No,Electronic check,54.04,397.74,No
CUST-00028,Female,0,Yes,No,49,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),25.26,1203.82,No
CUST-00029,Female,0,No,No,59,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No,One year,Yes,Credit card (automatic),88.61,4980.39,No
CUST-00030,Male,0,Yes,No,14,Yes,Yes,DSL,No internet service,No,No,No,No internet service,No,Two year,No,Bank transfer (automatic),52.61,712.12,No
CUST-00031,Male,0,Yes,Yes,35,Yes,No,No,Yes,No internet service,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),43.41,1391.3,Yes
CUST-00032,Female,0,Yes,Yes,62,Yes,Yes,DSL,No,Yes,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,88.3,5281.68,Yes
CUST-00033,Female,0,No,No,68,No,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),116.9,7458.14,No
CUST-00034,Female,0,No,Yes,40,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),94.02,3509.58,Yes
CUST-00035,Male,0,Yes,No,23,Yes,No,No,Yes,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),68.12,1515.29,Yes
CUST-00036,Female,0,No,No,48,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No,No internet service,One year,Yes,Electronic check,79.25,3648.89,No
CUST-00037,Male,0,No,No,17,Yes,Yes,No,No,Yes,No internet service,No,No,No,Two year,Yes,Credit card (automatic),32.51,533.28,No
CUST-00038,Male,0,Yes,No,6,Yes,Yes,No,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),100.95,603.6,Yes
CUST-00039,Male,0,Yes,No,3,Yes,No phone service,DSL,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,79.64,231.78,Yes
CUST-00040,Male,0,No,No,68,Yes,No phone service,DSL,No,No,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,116.51,7638.18,No
CUST-00041,Male,0,No,Yes,59,Yes,Yes,No,Yes,No,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),117.91,6687.85,No
CUST-00042,Female,0,No,No,54,Yes,No,No,Yes,No,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),54.17,2749.29,No
CUST-00043,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,Yes,Two year,No,Credit card (automatic),118.83,1753.79,No
CUST-00044,Female,1,Yes,No,28,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No,One year,No,Electronic check,115.6,3036.42,No
CUST-00045,Female,0,No,No,22,Yes,No,No,No,Yes,No internet service,No,No,No internet service,Two year,No,Bank transfer (automatic),83.26,1776.81,No
CUST-00046,Female,0,Yes,No,13,Yes,No,DSL,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,52.01,628.34,Yes
CUST-00047,Male,0,Yes,No,48,Yes,Yes,No,No internet service,No,No,No internet service,No internet service,No,One year,Yes,Credit card (automatic),94.84,4164.35,No
CUST-00048,Female,1,No,No,32,No,Yes,No,No,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Electronic check,45.67,1334.26,No
CUST-00049,Female,0,No,Yes,24,No,No,DSL,No internet service,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Credit card (automatic),82.24,1901.63,Yes
CUST-00050,Male,1,Yes,No,20,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),20.51,382.63,No
CUST-00051,Female,0,Yes,No,16,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,82.12,1218.67,No
CUST-00052,Male,1,No,No,22,Yes,No phone service,DSL,No,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),115.06,2428.06,No
CUST-00053,Female,0,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,41.98,2121.83,No
CUST-00054,Male,1,Yes,No,57,Yes,Yes,No,No,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),97.37,5131.74,No
CUST-00055,Female,0,No,Yes,13,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,One year,No,Mailed check,47.93,582.0,No
CUST-00056,Female,0,No,No,19,Yes,No phone service,No,No,Yes,No internet service,No,Yes,No internet service,Two year,No,Electronic check,90.2,1663.82,No
CUST-00057,Male,0,Yes,Yes,29,No,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),89.4,2474.64,Yes
CUST-00058,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,36.84,653.57,Yes
CUST-00059,Male,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,78.91,3830.25,Yes
CUST-00060,Male,1,No,Yes,55,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),105.64,5401.42,Yes
CUST-00061,Male,1,Yes,Yes,22,Yes,No,No,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),57.02,1133.16,No
CUST-00062,Male,0,Yes,No,61,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,No,One year,Yes,Credit card (automatic),90.45,5490.81,No
CUST-00063,Male,0,No,Yes,32,Yes,No phone service,DSL,No internet service,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),86.79,2638.83,Yes
CUST-00064,Male,0,No,No,17,Yes,No phone service,No,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),44.27,715.15,Yes
CUST-00065,Female,0,Yes,Yes,72,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),111.7,7980.82,Yes
CUST-00066,Female,0,No,Yes,32,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,75.48,2243.85,Yes
CUST-00067,Male,0,No,No,31,Yes,No,No,No,No,No internet service,No,Yes,Yes,One year,No,Credit card (automatic),54.24,1569.14,Yes
CUST-00068,Female,0,Yes,No,60,Yes,No,DSL,No internet service,No,No,No,No internet service,No internet service,One year,Yes,Electronic check,34.76,2013.93,No
CUST-00069,Female,0,No,No,53,Yes,No phone service,No,No,No internet service,Yes,No internet service,No,Yes,Two year,Yes,Mailed check,66.29,3437.89,No
CUST-00070,Female,0,No,No,16,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,92.47,1435.03,Yes
CUST-00071,Female,0,Yes,No,18,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),81.61,1437.94,Yes
CUST-00072,Male,0,No,No,69,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,92.16,6088.85,No
CUST-00073,Female,0,Yes,No,33,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,98.76,3214.37,Yes
CUST-00074,Male,1,Yes,No,24,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,One year,Yes,Mailed check,62.98,1443.52,Yes
CUST-00075,Female,0,No,No,67,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No,No internet service,Two year,No,Mailed check,71.06,4394.11,No
CUST-00076,Female,0,No,No,10,Yes,No phone service,No,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Electronic check,118.62,1131.84,Yes
CUST-00077,Female,0,No,Yes,15,Yes,Yes,No,No,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,116.74,1700.83,Yes
CUST-00078,Male,0,Yes,No,60,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,No internet service,No,One year,No,Mailed check,60.31,3493.24,No
CUST-00079,Female,1,No,Yes,6,Yes,No,DSL,Yes,No internet service,No,No internet service,Yes,No,One year,No,Bank transfer (automatic),87.89,487.42,No
CUST-00080,Male,0,Yes,No,15,Yes,No,DSL,No internet service,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,45.29,614.21,Yes
CUST-00081,Female,0,No,Yes,15,Yes,Yes,No,No,No internet service,No,Yes,Yes,Yes,One year,No,Electronic check,33.58,466.05,No
CUST-00082,Male,0,No,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No,Two year,No,Electronic check,96.38,3752.82,No
CUST-00083,Female,1,No,No,11,Yes,No,No,No internet service,No internet service,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,62.49,631.33,Yes
CUST-00084,Male,1,Yes,Yes,34,Yes,No phone service,No,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),36.06,1160.37,No
CUST-00085,Male,0,No,Yes,20,Yes,No phone service,DSL,No internet service,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.4,1839.0,No
CUST-00086,Female,0,No,Yes,49,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No,No internet service,One year,No,Credit card (automatic),111.35,5390.39,Yes
CUST-00087,Male,0,Yes,No,42,Yes,Yes,No,Yes,No internet service,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),113.19,4640.01,No
CUST-00088,Female,1,Yes,No,16,Yes,No,Fiber optic,No,Yes,No internet service,No,No,No,Two year,Yes,Bank transfer (automatic),78.83,1249.8,Yes
CUST-00089,Female,0,No,Yes,31,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,Yes,One year,No,Electronic check,66.92,1992.45,No
CUST-00090,Female,1,No,No,40,Yes,Yes,No,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,32.47,1281.31,No
CUST-00091,Female,0,No,No,5,Yes,No,No,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),98.86,457.91,Yes
CUST-00092,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,One year,No,Credit card (automatic),114.42,2805.52,No
CUST-00093,Female,0,Yes,No,19,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Mailed check,108.72,2033.41,No
CUST-00094,Female,0,Yes,No,24,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),94.68,2119.07,No
CUST-00095,Female,0,Yes,No,65,Yes,Yes,No,Yes,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,18.47,1185.09,No
CUST-00096,Female,0,No,Yes,8,No,No,DSL,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),59.59,446.36,Yes
CUST-00097,Female,0,Yes,Yes,52,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,Yes,One year,Yes,Electronic check,59.89,2916.02,No
CUST-00098,Female,0,Yes,Yes,60,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,109.23,6100.95,Yes
CUST-00099,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,No,One year,No,Bank transfer (automatic),24.7,872.5,No
CUST-00100,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,72.18,131.79,No
CUST-00101,Female,1,No,No,69,Yes,No,DSL,No internet service,No internet service,No,Yes,No,No internet service,One year,Yes,Credit card (automatic),31.89,1988.42,No
CUST-00102,Female,1,Yes,No,54,Yes,Yes,DSL,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),85.55,4572.31,No
CUST-00103,Female,1,Yes,Yes,0,No,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),98.81,0.0,Yes
CUST-00104,Female,1,No,Yes,69,Yes,Yes,No,Yes,No internet service,No internet service,Yes,No,No internet service,One year,No,Bank transfer (automatic),83.48,5227.98,No
CUST-00105,Female,0,No,No,44,Yes,Yes,DSL,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,99.05,4161.95,No
CUST-00106,Female,0,No,No,46,Yes,Yes,No,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),79.96,3508.85,Yes
CUST-00107,Female,0,No,Yes,25,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,37.36,875.39,Yes
CUST-00108,Female,0,No,No,13,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),57.03,709.43,No
CUST-00109,Male,0,No,No,53,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),115.6,5794.8,No
CUST-00110,Female,0,No,No,70,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,47.39,3148.0,No
CUST-00111,Male,0,No,No,45,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,24.41,1071.57,No
CUST-00112,Female,0,Yes,Yes,30,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),57.25,1636.08,No
CUST-00113,Female,0,Yes,Yes,58,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),55.36,2993.71,No
CUST-00114,Male,0,Yes,No,28,Yes,No,DSL,No internet service,Yes,No internet service,No,No internet service,No internet service,One year,Yes,Mailed check,65.97,1769.85,No
CUST-00115,Female,0,Yes,No,16,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,75.15,1159.2,Yes
CUST-00116,Male,0,Yes,No,13,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No internet service,One year,No,Mailed check,119.23,1497.65,Yes
CUST-00117,Female,1,Yes,No,35,Yes,No phone service,Fiber optic,No internet service,No,No,No,No internet service,No,Month-to-month,No,Electronic check,95.14,3202.8,Yes
CUST-00118,Female,0,No,Yes,57,Yes,No,DSL,Yes,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),21.66,1193.21,No
CUST-00119,Male,0,No,No,23,Yes,No phone service,No,No,Yes,Yes,No internet service,Yes,Yes,One year,No,Electronic check,90.7,1942.18,No
CUST-00120,Female,1,Yes,Yes,62,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,102.07,5977.83,No
CUST-00121,Male,1,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),109.35,2537.46,No
CUST-00122,Female,1,No,No,58,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),61.25,3465.24,Yes
CUST-00123,Male,0,No,No,31,Yes,No,DSL,Yes,Yes,Yes,No internet service,No,No internet service,One year,No,Electronic check,49.99,1462.0,No
CUST-00124,Male,0,No,No,17,Yes,No,No,No internet service,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,103.61,1649.58,Yes
CUST-00125,Female,0,Yes,No,36,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,Yes,No,One year,No,Mailed check,97.32,3403.98,No
CUST-00126,Female,0,No,No,25,Yes,Yes,DSL,No internet service,No,No internet service,No,No internet service,No,Two year,No,Bank transfer (automatic),72.68,1675.67,Yes
CUST-00127,Male,0,Yes,No,8,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,30.02,216.37,No
CUST-00128,Female,0,Yes,Yes,63,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),84.48,5040.78,No
CUST-00129,Female,0,No,Yes,71,Yes,Yes,No,Yes,No internet service,Yes,No internet service,Yes,No,Two year,No,Credit card (automatic),24.7,1608.73,No
CUST-00130,Female,0,No,Yes,19,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),28.24,503.2,No
CUST-00131,Male,0,Yes,Yes,53,Yes,Yes,No,No,Yes,Yes,No,No,No internet service,One year,No,Bank transfer (automatic),51.78,2549.83,No
CUST-00132,Male,0,No,No,29,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),55.86,1583.86,No
CUST-00133,Male,0,No,No,52,Yes,Yes,No,No,Yes,No,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),65.12,3159.84,No
CUST-00134,Male,0,Yes,No,62,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),52.59,3143.42,No
CUST-00135,Male,0,No,Yes,10,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,21.45,207.51,Yes
CUST-00136,Male,1,Yes,No,30,No,No,DSL,Yes,No internet service,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),34.06,966.26,No
CUST-00137,Male,0,Yes,No,48,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,29.74,1296.34,No
CUST-00138,Male,0,No,No,18,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,61.98,1082.21,Yes
CUST-00139,Male,0,Yes,No,11,Yes,Yes,No,Yes,Yes,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,39.64,395.71,No
CUST-00140,Female,0,Yes,No,14,Yes,No,No,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),47.94,610.7,No
CUST-00141,Male,0,No,Yes,30,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,No,Two year,No,Credit card (automatic),66.1,1823.57,No
CUST-00142,Female,0,No,Yes,42,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,No,Yes,Two year,Yes,Mailed check,42.03,1638.23,No
CUST-00143,Female,0,No,No,36,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,No,Two year,Yes,Electronic check,43.08,1527.07,No
CUST-00144,Female,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),102.98,2789.71,Yes
CUST-00145,Male,1,Yes,No,25,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),73.9,1734.29,Yes
CUST-00146,Male,0,No,Yes,1,Yes,No,No,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),105.39,105.16,Yes
CUST-00147,Male,0,Yes,No,14,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),70.48,912.08,Yes
CUST-00148,Male,1,No,No,3,Yes,Yes,No,No,Yes,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),110.74,319.26,Yes
CUST-00149,Female,1,No,No,49,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No,Yes,Two year,Yes,Electronic check,43.98,2122.09,No
CUST-00150,Male,0,Yes,Yes,37,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),80.9,2934.04,Yes
CUST-00151,Male,0,No,Yes,22,Yes,No,DSL,Yes,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),69.33,1386.51,No
CUST-00152,Male,0,Yes,No,58,Yes,No,No,Yes,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),111.71,6283.04,No
CUST-00153,Male,0,Yes,No,27,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,60.68,1516.77,Yes
CUST-00154,Male,0,No,Yes,65,Yes,No phone service,DSL,Yes,Yes,No internet service,No,Yes,No,Two year,No,Mailed check,105.19,6396.84,No
CUST-00155,Female,0,Yes,Yes,7,No,Yes,No,Yes,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),75.52,501.63,Yes
CUST-00156,Male,0,No,No,28,Yes,No,No,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),90.27,2474.67,No
CUST-00157,Female,1,Yes,No,10,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Two year,No,Electronic check,108.46,994.17,No
CUST-00158,Male,1,Yes,No,17,Yes,Yes,No,Yes,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,119.68,1853.19,No
CUST-00159,Female,0,Yes,No,54,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),92.58,4576.1,No
CUST-00160,Male,0,No,No,49,Yes,No,DSL,No internet service,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,50.08,2262.08,No
CUST-00161,Male,0,Yes,Yes,13,Yes,Yes,No,No internet service,No internet service,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),48.5,571.2,No
CUST-00162,Female,0,No,No,8,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,49.53,393.32,No
CUST-00163,Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No,No,No,One year,No,Credit card (automatic),27.99,260.84,No
CUST-00164,Female,0,Yes,No,62,Yes,No phone service,DSL,No,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),23.47,1335.38,No
CUST-00165,Male,0,No,No,66,Yes,No,No,No,Yes,No,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),77.25,4913.85,No
CUST-00166,Female,0,No,Yes,52,Yes,Yes,No,No,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,100.68,5123.84,Yes
CUST-00167,Male,0,No,Yes,38,Yes,No phone service,No,No internet service,No,No,Yes,No internet service,No,One year,No,Bank transfer (automatic),21.69,803.88,No
